,nom_editeur
3,10TACLE Studios
4,1C Company
5,20th Century Fox Video Games
6,2D Boy
7,3DO
8,49Games
9,505 Games
10,5pb
11,7G//AMES
12,989 Sports
13,989 Studios
14,AQ Interactive
15,ASC Games
16,ASCII Entertainment
17,ASCII Media Works
18,ASK
19,Abylight
20,Acclaim Entertainment
21,Accolade
22,Ackkstudios
23,Acquire
24,Activision
25,Activision Blizzard
26,Activision Value
27,Adeline Software
28,Aerosoft
29,Agatsuma Entertainment
30,Agetec
31,Aksys Games
32,Alawar Entertainment
33,Alchemist
34,Alternative Software
35,Altron
36,Alvion
37,American Softworks
38,Angel Studios
39,Answer Software
40,Aqua Plus
41,Aques
42,Arc System Works
43,Arena Entertainment
44,Aria
45,Arika
46,ArtDink
47,Aruze Corp
48,Ascaron Entertainment
49,Ascaron Entertainment GmbH
50,Asgard
51,Asmik Ace Entertainment
52,Asmik Corp
53,Aspyr
54,Astragon
55,Asylum Entertainment
56,Atari
57,Athena
58,Atlus
59,Avalon Interactive
60,Avanquest
61,Avanquest Software
62,Axela
63,BAM! Entertainment
64,BMG Interactive Entertainment
65,BPS
66,Banpresto
67,Benesse
68,Berkeley
69,Bethesda Softworks
70,Big Ben Interactive
71,Big Fish Games
72,Bigben Interactive
73,Black Bean Games
74,Black Label Games
75,Blast! Entertainment Ltd
76,Blue Byte
77,Bohemia Interactive
78,Bomb
79,Boost On
80,Brash Entertainment
81,Broccoli
82,BushiRoad
83,CBS Electronics
84,CCP
85,CDV Software Entertainment
86,CPG Products
87,CTO SpA
88,Capcom
89,Cave
90,ChunSoft
91,City Interactive
92,Cloud Imperium Games Corporation
93,Coconuts Japan
94,Codemasters
95,Codemasters Online
96,CokeM Interactive
97,Coleco
98,Comfort
99,Commseed
100,Compile
101,Compile Heart
102,Conspiracy Entertainment
103,Core Design Ltd.
104,Crave Entertainment
105,Creative Core
106,Crimson Cow
107,Crystal Dynamics
108,Culture Brain
109,Culture Publishers
110,CyberFront
111,Cygames
112,D3Publisher
113,DHM Interactive
114,DSI Games
115,DTP Entertainment
116,Daedalic
117,Daedalic Entertainment
118,Daito
119,Data Age
120,Data Design Interactive
121,Data East
122,Datam Polystar
123,Deep Silver
124,Destination Software- Inc
125,Destineer
126,Detn8 Games
127,Devolver Digital
128,DigiCube
129,Disney Interactive Studios
130,Dorart
131,DreamCatcher Interactive
132,DreamWorks Interactive
133,Dusenberry Martin Racing
134,EA Games
135,EON Digital Entertainment
136,ESP
137,Easy Interactive
138,Ecole
139,Edia
140,Eidos Interactive
141,Electronic Arts
142,Electronic Arts Victor
143,Elf
144,Elite
145,Empire Interactive
146,Encore
147,Enix Corporation
148,Enjoy Gaming ltd.
149,Enterbrain
150,Epic Games
151,Epoch
152,Ertain
153,Essential Games
154,Evolution Games
155,Evolved Games
156,Excalibur Publishing
157,Experience Inc.
158,Extreme Entertainment Group
159,Falcom Corporation
160,Fields
161,Flashpoint Games
162,Flight-Plan
163,Focus Home Interactive
164,Focus Multimedia
165,Foreign Media Games
166,Fortyfive
167,Fox Interactive
168,From Software
169,FuRyu
170,FuRyu Corporation
171,Fuji
172,FunSoft
173,Funbox Media
174,Funcom
175,Funsta
176,G.Rev
177,GN Software
178,GOA
179,GSP
180,GT Interactive
181,Gaga
182,Gainax Network Systems
183,Gakken
184,Game Arts
185,Game Factory
186,Game Life
187,GameMill Entertainment
188,GameTek
189,Gamebridge
190,Gamecock
191,Gameloft
192,Gathering of Developers
193,General Entertainment
194,Genki
195,Genterprise
196,Ghostlight
197,Giga
198,Giza10
199,Glams
200,Global A Entertainment
201,Global Star
202,Gotham Games
203,Graffiti
204,Grand Prix Games
205,Graphsim Entertainment
206,Gremlin Interactive Ltd
207,Griffin International
208,Groove Games
209,GungHo
210,Gust
211,HAL Laboratory
212,HMH Interactive
213,Hackberry
214,Hamster Corporation
215,Happinet
216,Harmonix Music Systems
217,Hasbro Interactive
218,Havas Interactive
219,Headup Games
220,Hearty Robin
221,Hect
222,Hello Games
223,Her Interactive
224,Hip Interactive
225,Home Entertainment Suppliers
226,Hudson Entertainment
227,Hudson Soft
228,Human Entertainment
229,HuneX
230,IE Institute
231,ITT Family Games
232,Iceberg Interactive
233,Idea Factory
234,Idea Factory International
235,Ignition Entertainment
236,Illusion Softworks
237,Imadio
238,Image Epoch
239,Imageworks
240,Imagic
241,Imagineer
242,Imax
243,Indie Games
244,Infogrames
245,Insomniac Games
246,Interchannel
247,Interchannel-Holon
248,Intergrow
249,Interplay
250,Interplay Productions
251,Interworks Unlimited- Inc.
252,Inti Creates
253,Introversion Software
254,Irem Software Engineering
255,Ivolgamus
256,JVC
257,Jack of All Games
258,Jaleco
259,Jester Interactive
260,JoWood Productions
261,Jorudan
262,Just Flight
263,KID
264,KSS
265,Kadokawa Games
266,Kadokawa Shoten
267,Kaga Create
268,Kalypso Media
269,Kamui
270,Kando Games
271,Karin Entertainment
272,Kemco
273,Kids Station
274,King Records
275,Knowledge Adventure
276,Koch Media
277,Kokopeli Digital Studios
278,Konami Digital Entertainment
279,Kool Kizz
280,LEGO Media
281,LSP Games
282,Laguna
283,Legacy Interactive
284,Level 5
285,Lexicon Entertainment
